# Frostfuscator Mapping File
# Generated at 2026-07-20T15:10:39.862313800

# Class Mappings
com.acme.frostfixture.k -> com.acme.frostfixture.ba
com.acme.frostfixture.NativeBridge -> com.acme.frostfixture.ag
com.acme.frostfixture.l -> com.acme.frostfixture.bb
com.acme.frostfixture.m -> com.acme.frostfixture.bc
com.acme.frostfixture.n -> com.acme.frostfixture.bd
com.acme.frostfixture.GenericBox -> com.acme.frostfixture.ad
com.acme.frostfixture.o -> com.acme.frostfixture.be
com.acme.frostfixture.AnnotatedEndpoint -> com.acme.frostfixture.y
com.acme.frostfixture.p -> com.acme.frostfixture.bf
com.acme.frostfixture.q -> com.acme.frostfixture.bg
com.acme.frostfixture.r -> com.acme.frostfixture.bh
com.acme.frostfixture.c -> com.acme.frostfixture.as
com.acme.frostfixture.d -> com.acme.frostfixture.at
com.acme.frostfixture.e -> com.acme.frostfixture.au
com.acme.frostfixture.f -> com.acme.frostfixture.av
com.acme.frostfixture.g -> com.acme.frostfixture.aw
com.acme.frostfixture.h -> com.acme.frostfixture.ax
com.acme.frostfixture.i -> com.acme.frostfixture.ay
com.acme.frostfixture.j -> com.acme.frostfixture.az
com.acme.frostfixture.ServiceImpl -> com.acme.frostfixture.am
com.acme.frostfixture.StringsAndNumbers -> com.acme.frostfixture.an
com.acme.frostfixture.LambdaUser -> com.acme.frostfixture.ae
com.acme.frostfixture.FixtureMarker -> com.acme.frostfixture.ab
com.acme.frostfixture.s -> com.acme.frostfixture.bi
com.acme.frostfixture.t -> com.acme.frostfixture.bj
com.acme.frostfixture.u -> com.acme.frostfixture.bk
com.acme.frostfixture.PluginEntrypoint -> com.acme.frostfixture.ah
com.acme.frostfixture.v -> com.acme.frostfixture.bl
com.acme.frostfixture.MbaCases -> com.acme.frostfixture.af
com.acme.frostfixture.w -> com.acme.frostfixture.bm
com.acme.frostfixture.x -> com.acme.frostfixture.bn
com.acme.frostfixture.ReflectionLookup -> com.acme.frostfixture.ai
com.acme.frostfixture.ApiHidingCases -> com.acme.frostfixture.z
com.acme.frostfixture.FlowCases -> com.acme.frostfixture.ac
com.acme.frostfixture.ReflectionTarget -> com.acme.frostfixture.aj
com.acme.frostfixture.ServiceApi -> com.acme.frostfixture.al
com.acme.frostfixture.StringSplittingCases -> com.acme.frostfixture.ao
com.acme.frostfixture.ResourceUser -> com.acme.frostfixture.ak
com.acme.frostfixture.a -> com.acme.frostfixture.aq
com.acme.frostfixture.b -> com.acme.frostfixture.ar
com.acme.frostfixture.FixtureApp -> com.acme.frostfixture.aa
com.acme.frostfixture.TracePrinter -> com.acme.frostfixture.ap

# Field Mappings
    com/acme/frostfixture/n.enabled:Z -> bq
    com/acme/frostfixture/v.lastRefreshTime:J -> cz
    com/acme/frostfixture/s.sessionLabel:J -> ci
    com/acme/frostfixture/s.cacheName:Ljava/lang/String; -> cg
    com/acme/frostfixture/g.enabled:Z -> ao
    com/acme/frostfixture/e.stateVersion:I -> af
    com/acme/frostfixture/q.cacheName:Ljava/lang/String; -> by
    com/acme/frostfixture/a.pendingCount:Z -> o
    com/acme/frostfixture/v.sessionLabel:J -> dd
    com/acme/frostfixture/l.stateVersion:I -> bg
    com/acme/frostfixture/GenericBox.values:Ljava/util/List; -> b
    com/acme/frostfixture/q.retryBudget:I -> bz
    com/acme/frostfixture/u.lastRefreshTime:J -> cr
    com/acme/frostfixture/a.cacheName:Ljava/lang/String; -> l
    com/acme/frostfixture/l.retryBudget:I -> bk
    com/acme/frostfixture/l.lastRefreshTime:J -> bh
    com/acme/frostfixture/v.enabled:Z -> da
    com/acme/frostfixture/b.cacheName:Ljava/lang/String; -> s
    com/acme/frostfixture/x.retryBudget:I -> dr
    com/acme/frostfixture/b.sessionLabel:J -> u
    com/acme/frostfixture/u.cacheName:Ljava/lang/String; -> ct
    com/acme/frostfixture/b.retryBudget:I -> t
    com/acme/frostfixture/x.pendingCount:Z -> dt
    com/acme/frostfixture/i.stateVersion:I -> az
    com/acme/frostfixture/StringsAndNumbers.PUBLIC_CONSTANT:Ljava/lang/String; -> f
    com/acme/frostfixture/r.stateVersion:I -> cb
    com/acme/frostfixture/f.enabled:Z -> aj
    com/acme/frostfixture/t.lastRefreshTime:J -> cl
    com/acme/frostfixture/c.sessionLabel:J -> ab
    com/acme/frostfixture/a.lastRefreshTime:J -> j
    com/acme/frostfixture/h.pendingCount:Z -> ay
    com/acme/frostfixture/g.retryBudget:I -> aq
    com/acme/frostfixture/s.stateVersion:I -> cd
    com/acme/frostfixture/b.stateVersion:I -> p
    com/acme/frostfixture/l.sessionLabel:J -> bl
    com/acme/frostfixture/f.stateVersion:I -> ah
    com/acme/frostfixture/a.retryBudget:I -> m
    com/acme/frostfixture/v.pendingCount:Z -> de
    com/acme/frostfixture/b.lastRefreshTime:J -> q
    com/acme/frostfixture/n.cacheName:Ljava/lang/String; -> br
    com/acme/frostfixture/v.checksumSeed:Ljava/lang/String; -> df
    com/acme/frostfixture/x.cacheName:Ljava/lang/String; -> dq
    com/acme/frostfixture/t.retryBudget:I -> co
    com/acme/frostfixture/a.stateVersion:I -> i
    com/acme/frostfixture/n.lastRefreshTime:J -> bp
    com/acme/frostfixture/ReflectionTarget.reflectedField:Ljava/lang/String; -> d
    com/acme/frostfixture/w.enabled:Z -> di
    com/acme/frostfixture/ReflectionTarget.name:Ljava/lang/String; -> c
    com/acme/frostfixture/b.pendingCount:Z -> v
    com/acme/frostfixture/r.lastRefreshTime:J -> cc
    com/acme/frostfixture/w.sessionLabel:J -> dl
    com/acme/frostfixture/f.cacheName:Ljava/lang/String; -> ak
    com/acme/frostfixture/h.stateVersion:I -> as
    com/acme/frostfixture/h.enabled:Z -> au
    com/acme/frostfixture/d.stateVersion:I -> ad
    com/acme/frostfixture/t.enabled:Z -> cm
    com/acme/frostfixture/w.cacheName:Ljava/lang/String; -> dj
    com/acme/frostfixture/i.lastRefreshTime:J -> ba
    com/acme/frostfixture/w.lastRefreshTime:J -> dh
    com/acme/frostfixture/s.retryBudget:I -> ch
    com/acme/frostfixture/g.sessionLabel:J -> ar
    com/acme/frostfixture/x.stateVersion:I -> dn
    com/acme/frostfixture/q.enabled:Z -> bx
    com/acme/frostfixture/v.stateVersion:I -> cy
    com/acme/frostfixture/i.retryBudget:I -> bd
    com/acme/frostfixture/c.cacheName:Ljava/lang/String; -> z
    com/acme/frostfixture/d.lastRefreshTime:J -> ae
    com/acme/frostfixture/t.cacheName:Ljava/lang/String; -> cn
    com/acme/frostfixture/i.cacheName:Ljava/lang/String; -> bc
    com/acme/frostfixture/e.lastRefreshTime:J -> ag
